"date","page_id","page_name","page_status","active_ads","new_ads","turned_off_ads","reactivated_ads","duplicate_ads","duplicate_groups","notes"
"2026-06-17","f60d442d","Media Masta","Watching","87","45","0","","0","64","New page in today's capture"
"2026-06-17","216afa76","See summary details Media Masta","Watching","68","1","0","","68","61","New page in today's capture"
"2026-06-17","c7865c20","See summary details Rachun Premium","Watching","58","0","58","","58","58","Ads reduced, reason not fully proven"
"2026-06-17","60fae891","Rachun Premium","Watching","17","0","17","","0","15","Ads reduced, reason not fully proven"
