"date","version_id","ad_id","page_id","page_name","status","first_observed_by_us","meta_active_since","days_observed_running","creative_hash","duplicate_group","landing_url","notes"
"2026-06-17","legacy-before-version-tracking","1286922629992680","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","a504b5ed","a504b5ed","https://s.shopee.com.my/AKVexxJr4m",""
"2026-06-17","legacy-before-version-tracking","1312558554125745","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","3d3c0c1b","3d3c0c1b","https://s.shopee.com.my/50T6iJrx0H",""
"2026-06-17","legacy-before-version-tracking","1729908254664102","f60d442d","Media Masta","Active","2026-06-17","2026-03-26","82","9a990061","9a990061","https://s.shopee.com.my/4LByW9dhla",""
"2026-06-17","legacy-before-version-tracking","1352886073472338","f60d442d","Media Masta","Active","2026-06-17","2026-06-09","7","a39fd90","a39fd90","https://s.shopee.com.my/3B4qqfh554",""
"2026-06-17","legacy-before-version-tracking","1322436810014051","f60d442d","Media Masta","Active","2026-06-17","2026-06-09","7","9aad4906","9aad4906","https://s.shopee.com.my/3B4qqfh554",""
"2026-06-17","legacy-before-version-tracking","1500567431631657","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","d49450f3","d49450f3","https://s.shopee.com.my/806ryOquZz",""
"2026-06-17","legacy-before-version-tracking","732245283307894","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","99998cdb","99998cdb","https://s.shopee.com.my/AKVexxJr4m",""
"2026-06-17","legacy-before-version-tracking","1735518310772683","f60d442d","Media Masta","Active","2026-06-17","2026-06-09","7","7c5e0511","7c5e0511","https://s.shopee.com.my/9zvCrTeUwC",""
"2026-06-17","legacy-before-version-tracking","1937746267627924","f60d442d","Media Masta","Active","2026-06-17","2026-05-07","40","a1f010dd","a1f010dd","https://s.shopee.com.my/3g0CHOIUuj",""
"2026-06-17","legacy-before-version-tracking","991880946912802","f60d442d","Media Masta","Active","2026-06-17","2026-06-09","7","29ed64e0","29ed64e0","https://s.shopee.com.my/1LdCwkaBfh",""
"2026-06-17","legacy-before-version-tracking","1322590066000402","f60d442d","Media Masta","Active","2026-06-17","2026-06-09","7","105e2c71","105e2c71","https://s.shopee.com.my/AUrMs4a4Ak",""
"2026-06-17","legacy-before-version-tracking","1953700441926406","f60d442d","Media Masta","Active","2026-06-17","2026-06-09","7","b2dccb15","b2dccb15","https://s.shopee.com.my/1LdCwkaBfh",""
"2026-06-17","legacy-before-version-tracking","1500806804850050","f60d442d","Media Masta","Active","2026-06-17","2026-06-09","7","92cd04ab","92cd04ab","https://s.shopee.com.my/9zvCrTeUwC",""
"2026-06-17","legacy-before-version-tracking","978352291863278","f60d442d","Media Masta","Unknown","2026-06-17","2026-06-09","7","6747ac00","6747ac00","https://s.shopee.com.my/AUrMs4a4Ak",""
"2026-06-17","legacy-before-version-tracking","1530299288683478","60fae891","Rachun Premium","Active","2026-06-17","2026-06-09","7","56327e0c","56327e0c","https://s.shopee.com.my/7VDqGyqxQk",""
"2026-06-17","legacy-before-version-tracking","2057226201550778","60fae891","Rachun Premium","Active","2026-06-17","2026-06-09","7","ebb9795d","ebb9795d","https://s.shopee.com.my/6L1uVcSb1P",""
